index,keyword,partofspeech,hanzi
306,Week,,週
307,Soldier,,士
308,Lucky,,吉
309,Buy,v.,買
310,Sell,,賣
311,Book,n.,書
312,Drawing,n.,畫
313,Scratch,v.,劃
314,Attack,v.,攻
315,Fail,,敗
316,Deliberately,,故
317,Rescue,v.,救
318,Revere,,敬
319,Spacious,,敞
320,Say,,言
321,Police,n.,警
322,Plan,n.,計
323,Prison,,獄
324,Condemn,,討
325,Instruction,,訓
326,Talk,n.,話
327,Poem,,詩
328,Language,,語
329,Read,v.,讀
330,Tune,n.,調
331,Discuss,,談
332,This,,這
333,Style,n.,式
334,Test,n./v.,試
335,Halberd,,戈
336,Or,,或
337,Burglar,,賊
338,Laden,,載
339,Iron,n.,鐵
340,Lush,,茂
341,Turn Into,,成
342,City,,城
343,Sincere,,誠
344,Might,n.,威
345,Destroy,,滅
346,Everybody,,咸
347,Reduce,,減
348,List,n.,單
349,War,n.,戰
350,Coin,n.,錢
351,Shallow,,淺
352,Cheap,,賤
353,Stop,v.,止
354,Footstep,,步
355,Ford,v.,涉
356,Repeatedly,,頻
357,Agree,,肯
358,Look Forward To,,企
359,Years of Age,,歲
360,Military,adj.,武
361,Levy,n.,賦
362,Correct,v./adj.,正
363,Politics,,政
364,Settle On,,定
365,Walk,v.,走
366,Transcend,,超
367,Surpass,,越
368,Be,,是
369,Topic,,題
370,Build,,建
371,Prolong,,延
372,Nativity,,誕
373,Clear,adj.,楚
374,Foundation,,礎
375,Clothing,,衣
376,Inside,,裡
377,Grief,,哀
378,Yuan,,袁
379,Distant,,遠
380,Bad,,壞
381,Elementary,,初
382,Towel,,巾
383,Cloth,,布
384,Hat,,帽
385,Curtain,,幕
386,Cotton,,棉
387,Help,v.,幫
388,Market,n.,市
389,Lungs,,肺
390,Sash,,帶
391,Stagnant,,滯
392,Thorn,,刺
393,System,,制
394,Manufacture,v.,製
395,Utter,v.,云
396,Rain,n.,雨
397,Cloud,n.,雲
398,Thunder,n.,雷
399,Electricity,,電
400,Frost,n.,霜
401,Ice,n.,冰
402,Winter,,冬
403,Heavens,,天
404,Die Young,,夭
405,Pretend,,喬
406,Bridge,n.,橋
407,Attractive,,嬌
408,Standing Up,adj.,立
409,Weep,,泣
410,Station,n.,站
411,Chapter,,章
412,Compete,,競
413,Sovereign,n.,帝
414,Juvenile,n.,童
415,Bell,,鐘
416,Salesman,,商
417,Suitable,,適
418,Enemy,,敵
419,Ancient Spoon,,匕
420,North,,北
421,Back,n.,背
422,Compare,,比
423,Descendants,,昆
424,Mix,v.,混
425,All,,皆
426,This (literally),,此
428,It,,它
429,Purpose,,旨
430,Grease,n.,脂
431,Every,,每
432,Small Plum,,梅
433,Sea,,海
434,Beg,,乞
435,Eat,,吃
436,Dry,adj.,乾
437,Duplicate,v.,複
438,Abdomen,,腹
439,Lack,v.,欠
440,Blow,v.,吹
441,Song,,歌
442,Soft,,軟
443,Next,,次
444,Assets,,資
445,Looks,n.,姿
446,Consult With,,諮
447,Compensate,,賠
448,Cultivate,,培
449,Sound,n.,音
450,Dark,adj.,暗
451,Rhyme,n.,韻
452,Knowledge,,識
453,Streamer,,幟
454,Unexpectedly,,竟
455,Mirror,,鏡
456,Boundary,,境
457,Deceased,adj.,亡
458,Blind,adj.,盲
459,Absurd,adj.,妄
460,Expect,,望
461,Direction,,方
462,Hinder,,妨
463,Release,v.,放
464,Excite,,激
465,(All-Purpose Preposition),,於
466,Side,n.,旁
467,Convert,v.,兌
468,Undress,,脫
469,Speak,,說
470,Formerly,,曾
471,Increase,v.,增
472,Make A Present Of,,贈
473,East,,東
474,Building,,棟
475,Freeze,v.,凍
476,Also,,也
477,She,,她
478,Ground,n.,地
479,Pond,,池
480,Insects,,蟲
481,Serpent,,蛇
482,Egg,,蛋
483,Wind,n.,風
484,Mock,v.,諷
485,Self,,己
486,Alter,,改
487,Remember,,記
488,Already,,巳
489,Wrap,v.,包
490,Bubbles,,泡
491,Begin,,起
492,House,n.,家
493,Site,,場
494,Soup,,湯
495,Sheep,,羊
496,Beautiful,,美
497,Ocean,,洋
498,Fresh,,鮮
499,Reach,v.,達
500,Appearance,,樣
501,Fall Short Of,,差
502,Gather,,集
503,Advance,v.,進
504,Standard,n.,準
505,Who?,,誰
506,Vend,,售
507,Although,,雖
508,Reliable,,確
509,Noon,,午
510,Permit,v.,許
511,Feathers,,羽
512,Learn,,習
513,Soar,,翔
514,Trapped,,困
515,Solid,,固
516,Country,,國
517,Round,,圓
518,Cause,n.,因
519,Park,n.,園
520,Return,v.,回
521,Revolve,,迴
522,Picture,n.,圖
523,Store,n.,店
524,Warehouse,,庫
525,Trousers,,褲
526,Factory,,廠
527,Bed,,床
528,Hemp,,麻
529,Heart,,心
530,Forget,,忘
531,Endure,,忍
532,Recognize,,認
533,Aspiration,,志
534,Annals,,誌
535,Consider,,思
536,Idea,,意
537,Think,,想
538,Breath,,息
539,Fear,v.,恐
540,Feel,v.,感
541,Regret,n.,憾
542,Worried,,憂
543,Dread,v.,怕
544,Busy,adj,忙
545,Accustomed To,,慣
546,Cherish,,懷
547,Certainly,,必
548,Hand,,手
549,Look At,,看
550,Hold,v.,拿
551,I,,我
552,Righteousness,,義
553,Deliberate,v.,議
554,Ant,,蟻
555,Embrace,v.,抱
556,Combat,v.,抗
557,Criticize,,批
558,Beckon,,招
559,Strike,v.,打
560,Finger,n.,指
561,Support,v.,持
562,Include,,括
563,Bring Up,,提
564,Brandish,,揮
565,Push,,推
566,Welcome,v.,接
567,Hang,,掛
568,Press Down On,,按
569,Drop,v.,掉
570,Pull,,拉
571,!!,,啦
572,Look For,,找
573,Grind Away,v.,研
574,Play With,,弄
575,Nose,,鼻
576,Punishment,,刑
577,Mold,v.,型
578,Genius,,才
579,Riches,,財
580,Deposit,v.,存
581,At,,在
582,Only Then,,乃
583,Milk,n.,奶
584,Catch Up With,,及
585,Inhale,,吸
586,History,,史
587,Even More,,更
588,Hard,,硬
589,Again,,又
590,Friend,,友
591,Pair,,雙
592,One of a Pair,,隻
593,Protect,,護
594,Seize,,獲
595,Observe,,觀
596,Joyous,,歡
597,Throw,v.,投
598,Not Have,,沒
599,Establish,v.,設
600,Thigh,,股
601,Offshoot,,支
602,Skill,,技
603,Branch,,枝
604,Uncle,,叔
605,Superintend,,督
606,Lonely,,寂
607,Against,,反
608,Plank,,板
609,Go Back,,返
610,Faction,,派
611,Blood Vessels,,脈
612,Claw,,爪
613,Grab,,抓
614,Pluck,v.,采
615,Pick,v.,採
616,Vegetable,,菜
617,Accept,,受
618,Confer,,授
619,Love,n./v.,愛
620,Grand,,雄
621,Platform,,台
622,Govern,,治
623,Commence,,始
624,Go,,去
625,Method,,法
626,Until,,至
627,Room,,室
628,Arrive,,到
629,Mutual,,互
630,Sufficient,,充
631,Education,,育
632,Flow,v.,流
633,Comb,n.,梳
634,Mountain,,山
635,Exit,v.,出
636,Beat,v.,擊
637,Secret,adj,密
638,Enter,,入
639,Internal,,內
640,Holler,v.,吶
641,Part,n./v.,分
642,Impoverished,,貧
643,Public,adj.,公
644,Pine Tree,,松
645,Valley,,谷
646,Bathe,,浴
647,Desire,v.,欲
648,Lust,n.,慾
649,Contain,,容
650,Dissolve,,溶
651,Work As,,當
652,Files,n.,檔
653,Political Party,,黨
654,Often,,常
655,Main Room,,堂
656,Covering,n.,皮
657,Waves,,波
658,Old Woman,,婆
659,Break,,破
660,Quilt,n.,被
661,Malicious,,歹
662,Line Up,,列
663,Intense,,烈
664,Death,,死
665,inter,v.,葬
666,Ear,,耳
667,Take,,取
668,Interest,,趣
669,Most,adv.,最
670,Job,,職
671,Holy,,聖
672,Brave,adj.,敢
673,Strict,,嚴
674,Drawn Out,,曼
675,Slow,adj.,慢
676,Overflow,v.,漫
677,Ring,n.,環
678,Give Back,,還
679,Husband,,夫
680,Regulations,,規
681,Replace,,替
682,Lose,,失
683,Feudal Official,,臣
684,Be About To,,臨
685,Worthy,,賢
686,Firm,adj.,堅
687,Power,,力
688,Another,,另
689,Don't,,別
690,Turn,v.,拐
691,Male,n.,男
692,Achievement,,功
693,Slave,n.,奴
694,Toil,v.,努
695,Add,,加
696,Congratulate,,賀
697,Shelf,n.,架
698,Cooperate,,協
699,Line of Business,,行
700,Law,,律
701,Recover,,復
702,Must,aux. v.,得
703,Treat,v.,待
704,Toward,,往
705,Tiny,,微
706,Street,,街
707,Morality,,德
708,Listen,,聽
709,Hall,,廳
710,Standing Grain,,禾
711,Journey,n.,程
712,Harmony,,和
713,Shift,v.,移
714,Autumn,,秋
715,Gloomy,,愁
716,Profit,n.,利
717,Perfume,n.,香
718,Seasons,n.,季
719,Committee,,委
720,Elegant,,秀
721,Penetrate,,透
722,Entice,,誘
723,Experience,n./v.,歷
724,Rice,,米
725,Lost,,迷
726,Riddle,,謎
727,Kind,n.,類
728,Bamboo,,竹
729,Laugh,v.,笑
730,Box,n.,箱
731,Pen,,筆
732,etc.,,等
733,Calculate,,算
734,Answer,v.,答
735,Strategy,,策
736,Person,,人
737,Prisoner,,囚
738,Portion,,份
739,Occupy,,佔
740,Furniture,,傢
741,You,,你
742,You (respectful),,您
743,What?,,什
744,Strip,n.,條
745,Value,n.,值
746,Make,,做
747,However,,但
748,Dwell,,住
749,Position,n.,位
750,Piece,n.,件
751,Still,adv.,仍
752,He,,他
753,Rest,v.,休
754,Faith,,信
755,Depend On,,依
756,Example,,例
757,Individual,,個
758,Healthy,,健
759,Halt,v.,停
760,Upside Down,,倒
761,Benevolence,,仁
762,Excellent,,優
763,Wound,n.,傷
764,Safeguard,v.,保
427,Somewhat,,些
765,Fort,,堡
766,Pay,v.,付
767,Government Office,,府
768,Bow One's Head,,俯
769,Substitute For,,代
770,Bag,n.,袋
771,Transform,,化
772,Flower,n.,花
773,Commodities,,貨
774,whatwhichwhowherewhy?,,何
775,Convenient,,便
776,100 Chinese Inches,,丈
777,Use,v.,使
778,Long Time,,久
779,Chinese Acre,,畝
780,Third,,丙
781,Handle,n.,柄
782,Meat,,肉
783,Rotten,,腐
784,Multitude,,眾
785,Sit,,坐
786,Seat,n.,座
787,Examine,,檢
788,Face,n.,臉
789,Come,,來
790,Wheat,,麥
791,Drink,v.,喝
792,Thirsty,,渴
793,Appoint,,任
794,Royal Court,,廷
795,Court of Law,,庭
796,By Means Of,,以
797,Similar,,似
798,Combine,v.,併
799,Piece Together,,拼
800,Spine,,呂
801,Associate,,侶
802,Glory,n.,榮
803,Labor,n.,勞
804,Camp,n.,營
805,Virtuous,,善
806,Year,,年
807,Night,,夜
808,Liquid,,液
809,Call Out,v.,喚
810,Exchange,v.,換
811,Travel,v.,旅
812,Execute,,施
813,Go Swimming,,游
814,Tour,v.,遊
815,Not,,勿
816,Suddenly,,忽
817,Thing,,物
818,Easy,,易
819,Grant,v.,賜
820,Corpse,,屍
821,Nun,,尼
822,Woolen Cloth,,呢
823,Mud,,泥
824,Habitation,,屋
825,Grip,v.,握
826,Reside,,居
827,Saw,n.,鋸
828,Story,building,層
829,Bureau,,局
830,Door,,戶
831,Domicile,,房
832,Hire,v.,雇
833,Look Back,,顧
834,Show,v.,示
835,Society,,社
836,Inspect,,視
837,Happiness,,福
838,Prohibit,,禁
839,Front of a Garment,,襟
840,Religion,,宗
841,Worship,v.,崇
842,Offer Sacrifice,,祭
